PRCTILE,GOOD_ON_DUR,GOOD_OFF_DUR,AVG_ON_DUR,AVG_OFF_DUR,POOR_ON_DUR,POOR_OFF_DUR
0.25,2.8182,1.3172,1.5894,1.3387,1.5243,1.5392
0.251,2.8365,1.3185,1.5942,1.3401,1.5284,1.5474
0.252,2.8549,1.3197,1.5989,1.3414,1.5325,1.5555
0.253,2.8733,1.321,1.6037,1.3428,1.5366,1.5637
0.254,2.8916,1.3223,1.6084,1.3441,1.5407,1.5718
0.255,2.91,1.3235,1.6132,1.3455,1.5448,1.58
0.256,2.9284,1.3248,1.6179,1.3468,1.5489,1.5882
0.257,2.9467,1.3261,1.6227,1.3482,1.553,1.5963
0.258,2.9651,1.3273,1.6274,1.3495,1.557,1.6045
0.259,2.9835,1.3286,1.6322,1.3509,1.5611,1.6126
0.26,3.0018,1.3299,1.6369,1.3523,1.5652,1.6208
0.261,3.0202,1.3311,1.6417,1.3536,1.5693,1.6289
0.262,3.0385,1.3324,1.6464,1.355,1.5734,1.6371
0.263,3.0569,1.3337,1.6512,1.3563,1.5775,1.6453
0.264,3.0753,1.335,1.6559,1.3577,1.5816,1.6534
0.265,3.0936,1.3362,1.6607,1.359,1.5857,1.6616
0.266,3.112,1.3375,1.6654,1.3604,1.5898,1.6697
0.267,3.1304,1.3388,1.6701,1.3617,1.5939,1.6779
0.268,3.1487,1.34,1.6749,1.3631,1.598,1.686
0.269,3.1671,1.3413,1.6796,1.3645,1.6021,1.6942
0.27,3.1855,1.3426,1.6844,1.3658,1.6062,1.7024
0.271,3.2038,1.3438,1.6891,1.3672,1.6103,1.7105
0.272,3.2222,1.3451,1.6939,1.3685,1.6144,1.7187
0.273,3.2405,1.3464,1.6986,1.3699,1.6185,1.7268
0.274,3.2589,1.3476,1.7034,1.3712,1.6226,1.735
0.275,3.2773,1.3489,1.7081,1.3726,1.6267,1.7431
0.276,3.2956,1.3502,1.7129,1.3739,1.6308,1.7513
0.277,3.314,1.3514,1.7176,1.3753,1.6349,1.7595
0.278,3.3324,1.3527,1.7224,1.3766,1.639,1.7676
0.279,3.3507,1.354,1.7271,1.378,1.6431,1.7758
0.28,3.3691,1.3552,1.7319,1.3794,1.6472,1.7839
0.281,3.3875,1.3565,1.7366,1.3807,1.6513,1.7921
0.282,3.4058,1.3578,1.7414,1.3821,1.6554,1.8002
0.283,3.4242,1.3591,1.7461,1.3834,1.6595,1.8084
0.284,3.4425,1.3603,1.7509,1.3848,1.6636,1.8165
0.285,3.4609,1.3616,1.7556,1.3861,1.6677,1.8247
0.286,3.4793,1.3629,1.7604,1.3875,1.6718,1.8329
0.287,3.4976,1.3641,1.7651,1.3888,1.6759,1.841
0.288,3.5126,1.3654,1.7699,1.3902,1.68,1.8492
0.289,3.527,1.3667,1.7746,1.3915,1.6841,1.8573
0.29,3.5414,1.3679,1.7793,1.3929,1.6882,1.8655
0.291,3.5559,1.3692,1.7841,1.3943,1.6923,1.8736
0.292,3.5703,1.3705,1.7888,1.3956,1.6963,1.8818
0.293,3.5847,1.3717,1.7936,1.397,1.7004,1.89
0.294,3.5991,1.373,1.7983,1.3983,1.7045,1.8981
0.295,3.6136,1.3743,1.8031,1.3997,1.7086,1.9063
0.296,3.628,1.3755,1.8078,1.401,1.7127,1.9144
0.297,3.6424,1.3768,1.8126,1.4024,1.7168,1.9226
0.298,3.6569,1.3781,1.8173,1.4037,1.7209,1.9307
0.299,3.6713,1.3794,1.8221,1.4051,1.725,1.9389
0.3,3.6857,1.3806,1.8268,1.4065,1.7291,1.9471
0.301,3.7001,1.3819,1.8316,1.4078,1.7332,1.9552
0.302,3.7146,1.3832,1.8363,1.4092,1.7373,1.9634
0.303,3.729,1.3844,1.8411,1.4105,1.7414,1.9715
0.304,3.7434,1.3857,1.8458,1.4119,1.7455,1.9797
0.305,3.7579,1.387,1.8506,1.4132,1.7496,1.9878
0.306,3.7723,1.3882,1.8553,1.4146,1.7537,1.996
0.307,3.7867,1.3895,1.8601,1.4159,1.7578,2.0042
0.308,3.8011,1.3908,1.8648,1.4173,1.7619,2.0123
0.309,3.8156,1.392,1.8696,1.4186,1.766,2.0205
0.31,3.83,1.3933,1.8743,1.42,1.7701,2.0286
0.311,3.8444,1.3946,1.8791,1.4214,1.7742,2.0368
0.312,3.8589,1.3958,1.8838,1.4227,1.7783,2.0449
0.313,3.8733,1.3971,1.8886,1.4241,1.7824,2.0531
0.314,3.8877,1.3984,1.8933,1.4254,1.7865,2.0613
0.315,3.9021,1.3997,1.898,1.4268,1.7906,2.0694
0.316,3.9166,1.4009,1.9028,1.4281,1.7947,2.0776
0.317,3.931,1.4022,1.9075,1.4295,1.7988,2.0857
0.318,3.9454,1.4035,1.9123,1.4308,1.8029,2.0939
0.319,3.9599,1.4047,1.917,1.4322,1.807,2.102
0.32,3.9743,1.406,1.9218,1.4335,1.8111,2.1102
0.321,3.9887,1.4073,1.9265,1.4349,1.8152,2.1184
0.322,4.0031,1.4085,1.9313,1.4363,1.8193,2.1265
0.323,4.0176,1.4098,1.936,1.4376,1.8234,2.1347
0.324,4.032,1.4111,1.9408,1.439,1.8275,2.1428
0.325,4.0464,1.4123,1.9455,1.4403,1.8316,2.151
0.326,4.0609,1.4136,1.9503,1.4417,1.8357,2.1591
0.327,4.0753,1.4149,1.955,1.443,1.8397,2.1673
0.328,4.0897,1.4162,1.9598,1.4444,1.8438,2.1755
0.329,4.1041,1.4174,1.9645,1.4457,1.8479,2.1836
0.33,4.1186,1.4187,1.9693,1.4471,1.852,2.1918
0.331,4.133,1.42,1.974,1.4485,1.8561,2.1999
0.332,4.1474,1.4212,1.9788,1.4498,1.8602,2.2081
0.333,4.1619,1.4225,1.9835,1.4512,1.8643,2.2162
0.334,4.1763,1.4238,1.9883,1.4525,1.8684,2.2244
0.335,4.1907,1.425,1.993,1.4539,1.8725,2.2325
0.336,4.2051,1.4263,1.9978,1.4552,1.8766,2.2407
0.337,4.2196,1.4276,2.0025,1.4566,1.8807,2.2489
0.338,4.234,1.4288,2.0073,1.4579,1.8848,2.257
0.339,4.2484,1.4301,2.012,1.4593,1.8889,2.2652
0.34,4.2629,1.4314,2.0167,1.4606,1.893,2.2733
0.341,4.2773,1.4326,2.0215,1.462,1.8971,2.2815
0.342,4.2917,1.4339,2.0262,1.4634,1.9012,2.2896
0.343,4.3061,1.4352,2.031,1.4647,1.9053,2.2978
0.344,4.3206,1.4364,2.0357,1.4661,1.9094,2.306
0.345,4.335,1.4377,2.0405,1.4674,1.9135,2.3141
0.346,4.3494,1.439,2.0452,1.4688,1.9176,2.3223
0.347,4.3639,1.4403,2.05,1.4701,1.9217,2.3304
0.348,4.3783,1.4415,2.0547,1.4715,1.9258,2.3386
0.349,4.3927,1.4428,2.0595,1.4728,1.9299,2.3467
